Feature,value_boruta
tqwt_TKEO_mean_dec_12,1
tqwt_maxValue_dec_19,1
tqwt_TKEO_mean_dec_19,1
tqwt_stdValue_dec_12,1
tqwt_TKEO_mean_dec_33,1
tqwt_entropy_shannon_dec_35,1
tqwt_TKEO_std_dec_12,1
tqwt_stdValue_dec_11,1
tqwt_energy_dec_27,1
tqwt_entropy_log_dec_13,1
tqwt_maxValue_dec_13,2
tqwt_maxValue_dec_11,2
tqwt_stdValue_dec_6,2
tqwt_entropy_shannon_dec_36,3
tqwt_TKEO_mean_dec_17,3
tqwt_maxValue_dec_4,3
tqwt_energy_dec_35,5
tqwt_entropy_shannon_dec_12,5
tqwt_entropy_log_dec_16,7
det_TKEO_mean_1_coef,8
tqwt_entropy_log_dec_3,9
ddpJitter,10
tqwt_entropy_shannon_dec_17,11
tqwt_minValue_dec_9,12
Ed_5_coef,12
tqwt_entropy_shannon_dec_16,14
std_delta_delta_log_energy,15
Ed_1_coef,16
tqwt_entropy_log_dec_12,17
tqwt_TKEO_std_dec_11,18
tqwt_entropy_shannon_dec_33,18
tqwt_entropy_shannon_dec_19,20
tqwt_entropy_shannon_dec_13,21
tqwt_minValue_dec_7,22
std_10th_delta_delta,23
app_LT_TKEO_mean_1_coef,24
std_6th_delta,25
tqwt_energy_dec_21,26
det_entropy_log_1_coef,27
tqwt_energy_dec_12,28
tqwt_skewnessValue_dec_24,29
tqwt_stdValue_dec_25,30
tqwt_kurtosisValue_dec_32,30
tqwt_maxValue_dec_12,32
tqwt_medianValue_dec_36,33
tqwt_TKEO_std_dec_19,33
tqwt_energy_dec_18,35
det_TKEO_std_1_coef,37
std_7th_delta_delta,37
tqwt_entropy_log_dec_35,37
tqwt_TKEO_std_dec_26,39
std_6th_delta_delta,40
tqwt_TKEO_mean_dec_21,41
tqwt_entropy_log_dec_33,42
std_9th_delta_delta,42
tqwt_entropy_log_dec_27,44
tqwt_skewnessValue_dec_25,45
apq3Shimmer,46
locAbsJitter,47
det_entropy_shannon_1_coef,48
tqwt_minValue_dec_17,49
tqwt_entropy_log_dec_25,50
apq11Shimmer,51
GNE_std,52
std_8th_delta_delta,53
std_11th_delta_delta,54
std_7th_delta,55
std_MFCC_12th_coef,56
tqwt_stdValue_dec_26,57
tqwt_skewnessValue_dec_27,58
mean_MFCC_6th_coef,59
tqwt_energy_dec_6,59
tqwt_energy_dec_23,61
tqwt_meanValue_dec_19,62
std_4th_delta_delta,63
tqwt_kurtosisValue_dec_21,63
mean_5th_delta,65
tqwt_entropy_log_dec_32,66
minIntensity,67
mean_MFCC_2nd_coef,67
meanPeriodPulses,69
tqwt_energy_dec_25,70
mean_MFCC_5th_coef,71
std_MFCC_4th_coef,72
tqwt_maxValue_dec_20,73
std_10th_delta,74
tqwt_energy_dec_1,75
meanIntensity,76
tqwt_energy_dec_26,77
tqwt_TKEO_std_dec_5,78
mean_delta_delta_0th,79
maxIntensity,80
DFA,81
mean_MFCC_4th_coef,82
std_MFCC_7th_coef,82
tqwt_energy_dec_8,84
tqwt_entropy_log_dec_34,84
std_MFCC_0th_coef,86
std_MFCC_3rd_coef,87
tqwt_energy_dec_15,88
ppq5Jitter,89
f3,90
stdDevPeriodPulses,91
f4,91
tqwt_energy_dec_11,93
tqwt_energy_dec_31,94
tqwt_minValue_dec_21,95
tqwt_kurtosisValue_dec_12,96
tqwt_medianValue_dec_22,97
tqwt_kurtosisValue_dec_20,98
RPDE,98
b3,100
app_LT_TKEO_mean_3_coef,101
tqwt_skewnessValue_dec_28,102
tqwt_kurtosisValue_dec_25,103
tqwt_skewnessValue_dec_36,104
tqwt_meanValue_dec_5,105
std_8th_delta,105
std_4th_delta,107
tqwt_kurtosisValue_dec_36,108
tqwt_kurtosisValue_dec_33,109
mean_MFCC_10th_coef,110
tqwt_entropy_log_dec_1,112
VFER_SNR_TKEO,112
tqwt_kurtosisValue_dec_26,112
tqwt_TKEO_std_dec_34,114
GNE_NSR_TKEO,115
b2,116
numPulses,117
f2,118
tqwt_medianValue_dec_35,119
tqwt_skewnessValue_dec_23,120
locShimmer,121
GNE_SNR_TKEO,121
PPE,123
b4,123
tqwt_energy_dec_33,125
tqwt_medianValue_dec_10,126
locPctJitter,127
b1,128
tqwt_kurtosisValue_dec_23,129
tqwt_medianValue_dec_21,130
std_5th_delta,131
GNE_mean,132
mean_Log_energy,132
tqwt_TKEO_std_dec_17,134
tqwt_skewnessValue_dec_3,135
IMF_SNR_SEO,135
tqwt_meanValue_dec_36,137
tqwt_skewnessValue_dec_10,138
tqwt_entropy_shannon_dec_24,139
f1,140
tqwt_energy_dec_19,141
meanHarmToNoiseHarmonicity,142
tqwt_meanValue_dec_11,143
tqwt_medianValue_dec_31,144
tqwt_meanValue_dec_16,145
mean_2nd_delta,145
std_9th_delta,147
mean_11th_delta,148
tqwt_entropy_shannon_dec_32,149
tqwt_kurtosisValue_dec_27,150
std_delta_log_energy,151
std_1st_delta,152
VFER_SNR_SEO,153
tqwt_medianValue_dec_3,154
tqwt_meanValue_dec_33,154
tqwt_kurtosisValue_dec_18,156
mean_MFCC_1st_coef,157
apq5Shimmer,158
std_Log_energy,159
mean_delta_delta_log_energy,160
mean_3rd_delta_delta,160
IMF_NSR_TKEO,162
VFER_mean,163
tqwt_kurtosisValue_dec_5,164
mean_0th_delta,165
tqwt_skewnessValue_dec_33,167
tqwt_kurtosisValue_dec_17,167
tqwt_skewnessValue_dec_8,167
tqwt_TKEO_mean_dec_7,169
tqwt_entropy_shannon_dec_21,169
tqwt_skewnessValue_dec_30,171
mean_MFCC_8th_coef,172
tqwt_medianValue_dec_8,173
det_LT_TKEO_mean_1_coef,174
tqwt_medianValue_dec_28,175
tqwt_maxValue_dec_17,176
tqwt_energy_dec_17,177
tqwt_kurtosisValue_dec_4,178
tqwt_kurtosisValue_dec_35,179
GQ_prc5_95,180
mean_6th_delta,181
tqwt_energy_dec_7,182
VFER_std,183
tqwt_medianValue_dec_30,184
std_MFCC_2nd_coef,185
std_11th_delta,186
tqwt_entropy_log_dec_31,187
tqwt_kurtosisValue_dec_31,188
tqwt_entropy_shannon_dec_28,188
tqwt_kurtosisValue_dec_34,190
tqwt_medianValue_dec_13,191
tqwt_meanValue_dec_7,192
mean_2nd_delta_delta,192
tqwt_medianValue_dec_27,195
GQ_std_cycle_open,195
tqwt_medianValue_dec_25,195
tqwt_entropy_shannon_dec_25,197
std_12th_delta,197
GNE_SNR_SEO,199
tqwt_minValue_dec_11,200
tqwt_maxValue_dec_6,201
tqwt_minValue_dec_6,201
meanAutoCorrHarmonicity,203
tqwt_TKEO_mean_dec_26,204
tqwt_meanValue_dec_21,205
std_3rd_delta_delta,205
std_MFCC_5th_coef,207
IMF_NSR_SEO,208
tqwt_medianValue_dec_1,209
tqwt_stdValue_dec_20,210
tqwt_kurtosisValue_dec_19,211
rapJitter,211
tqwt_entropy_log_dec_6,213
tqwt_energy_dec_14,213
mean_3rd_delta,215
mean_MFCC_0th_coef,216
tqwt_medianValue_dec_16,217
tqwt_energy_dec_13,218
mean_4th_delta_delta,219
VFER_NSR_TKEO,220
tqwt_meanValue_dec_13,221
tqwt_entropy_shannon_dec_27,221
tqwt_entropy_shannon_dec_31,223
tqwt_skewnessValue_dec_11,223
tqwt_minValue_dec_4,225
tqwt_skewnessValue_dec_26,226
tqwt_TKEO_std_dec_20,227
tqwt_skewnessValue_dec_17,228
mean_10th_delta_delta,229
tqwt_skewnessValue_dec_29,230
GNE_NSR_SEO,231
tqwt_meanValue_dec_25,231
IMF_SNR_entropy,233
tqwt_entropy_shannon_dec_34,233
mean_MFCC_11th_coef,235
mean_5th_delta_delta,236
tqwt_stdValue_dec_32,236
tqwt_kurtosisValue_dec_24,238
tqwt_medianValue_dec_34,239
det_LT_entropy_shannon_4_coef,239
mean_delta_log_energy,241
tqwt_skewnessValue_dec_15,242
mean_MFCC_7th_coef,243
tqwt_meanValue_dec_6,244
tqwt_entropy_shannon_dec_26,244
tqwt_energy_dec_10,246
tqwt_TKEO_std_dec_25,247
mean_MFCC_3rd_coef,247
mean_7th_delta_delta,249
tqwt_TKEO_std_dec_32,250
tqwt_kurtosisValue_dec_2,251
mean_MFCC_12th_coef,252
tqwt_kurtosisValue_dec_22,252
tqwt_entropy_log_dec_18,254
tqwt_TKEO_std_dec_18,254
tqwt_meanValue_dec_34,256
tqwt_medianValue_dec_4,257
tqwt_minValue_dec_31,258
tqwt_entropy_log_dec_11,258
tqwt_energy_dec_3,260
std_MFCC_9th_coef,261
tqwt_skewnessValue_dec_31,262
tqwt_energy_dec_9,262
tqwt_TKEO_mean_dec_11,264
tqwt_meanValue_dec_18,265
det_LT_entropy_log_3_coef,266
tqwt_meanValue_dec_17,267
std_2nd_delta_delta,268
tqwt_skewnessValue_dec_9,269
std_0th_delta,270
det_LT_entropy_log_5_coef,270
mean_9th_delta,272
tqwt_kurtosisValue_dec_13,273
tqwt_skewnessValue_dec_1,274
tqwt_meanValue_dec_24,275
tqwt_entropy_shannon_dec_11,276
IMF_SNR_TKEO,276
tqwt_medianValue_dec_14,278
tqwt_kurtosisValue_dec_7,278
std_MFCC_8th_coef,280
mean_MFCC_9th_coef,281
tqwt_kurtosisValue_dec_15,282
mean_9th_delta_delta,282
tqwt_medianValue_dec_24,284
tqwt_meanValue_dec_8,286
Ed2_1_coef,286
tqwt_medianValue_dec_33,286
VFER_NSR_SEO,288
tqwt_kurtosisValue_dec_28,288
mean_10th_delta,291
tqwt_kurtosisValue_dec_30,291
tqwt_minValue_dec_32,291
tqwt_TKEO_mean_dec_32,291
tqwt_entropy_log_dec_26,294
std_3rd_delta,295
det_LT_TKEO_mean_5_coef,296
det_entropy_log_3_coef,296
tqwt_energy_dec_32,298
tqwt_medianValue_dec_12,299
det_LT_entropy_shannon_8_coef,300
tqwt_entropy_shannon_dec_20,301
tqwt_entropy_shannon_dec_1,301
std_MFCC_11th_coef,303
tqwt_medianValue_dec_11,304
tqwt_energy_dec_20,305
tqwt_meanValue_dec_10,306
tqwt_entropy_log_dec_23,307
mean_1st_delta,308
tqwt_maxValue_dec_28,309
std_5th_delta_delta,310
std_1st_delta_delta,310
tqwt_energy_dec_16,312
locDbShimmer,313
tqwt_medianValue_dec_6,313
tqwt_meanValue_dec_26,315
std_MFCC_1st_coef,316
tqwt_skewnessValue_dec_16,317
tqwt_skewnessValue_dec_21,318
det_LT_entropy_log_2_coef,318
tqwt_kurtosisValue_dec_29,320
tqwt_maxValue_dec_27,320
tqwt_TKEO_std_dec_1,322
tqwt_TKEO_std_dec_28,323
tqwt_medianValue_dec_20,324
det_LT_TKEO_mean_2_coef,324
tqwt_meanValue_dec_35,326
det_LT_TKEO_std_5_coef,327
tqwt_skewnessValue_dec_14,327
tqwt_energy_dec_24,329
mean_12th_delta,330
mean_8th_delta,331
tqwt_TKEO_std_dec_13,331
tqwt_skewnessValue_dec_19,333
Ed_4_coef,334
std_2nd_delta,334
tqwt_entropy_shannon_dec_18,336
tqwt_TKEO_mean_dec_6,337
mean_8th_delta_delta,338
tqwt_medianValue_dec_5,339
tqwt_medianValue_dec_9,340
numPeriodsPulses,340
tqwt_kurtosisValue_dec_3,342
tqwt_TKEO_std_dec_6,343
std_MFCC_6th_coef,343
tqwt_skewnessValue_dec_34,345
tqwt_minValue_dec_12,346
tqwt_entropy_shannon_dec_23,346
app_det_TKEO_mean_1_coef,348
tqwt_minValue_dec_13,349
tqwt_entropy_log_dec_21,350
tqwt_meanValue_dec_30,351
tqwt_minValue_dec_33,352
tqwt_medianValue_dec_2,353
tqwt_entropy_log_dec_17,354
tqwt_skewnessValue_dec_18,355
tqwt_TKEO_std_dec_7,356
tqwt_meanValue_dec_3,357
tqwt_entropy_log_dec_30,358
tqwt_maxValue_dec_7,359
tqwt_energy_dec_28,359
tqwt_energy_dec_30,361
mean_4th_delta,362
tqwt_medianValue_dec_26,364
std_MFCC_10th_coef,364
tqwt_kurtosisValue_dec_1,364
tqwt_meanValue_dec_29,366
tqwt_entropy_log_dec_28,367
tqwt_kurtosisValue_dec_9,367
tqwt_medianValue_dec_23,369
tqwt_TKEO_std_dec_3,369
tqwt_skewnessValue_dec_35,371
tqwt_stdValue_dec_27,372
tqwt_entropy_shannon_dec_10,373
Ed_10_coef,374
tqwt_stdValue_dec_33,375
mean_11th_delta_delta,375
tqwt_maxValue_dec_30,377
tqwt_TKEO_std_dec_4,378
tqwt_maxValue_dec_26,379
tqwt_meanValue_dec_9,379
IMF_NSR_entropy,381
tqwt_TKEO_mean_dec_23,382
tqwt_TKEO_mean_dec_27,383
tqwt_maxValue_dec_10,384
tqwt_energy_dec_29,385
tqwt_meanValue_dec_12,386
mean_12th_delta_delta,388
tqwt_minValue_dec_16,388
tqwt_minValue_dec_20,388
tqwt_maxValue_dec_33,390
tqwt_energy_dec_2,391
tqwt_skewnessValue_dec_7,392
tqwt_TKEO_mean_dec_25,393
tqwt_meanValue_dec_22,394
tqwt_meanValue_dec_27,394
tqwt_meanValue_dec_15,396
tqwt_TKEO_std_dec_14,397
tqwt_maxValue_dec_36,398
tqwt_entropy_log_dec_14,399
tqwt_energy_dec_4,400
tqwt_TKEO_std_dec_10,401
tqwt_maxValue_dec_2,402
tqwt_entropy_shannon_dec_30,403
tqwt_kurtosisValue_dec_16,404
tqwt_TKEO_mean_dec_22,405
det_LT_TKEO_std_1_coef,405
tqwt_skewnessValue_dec_13,408
tqwt_minValue_dec_34,408
mean_6th_delta_delta,408
tqwt_entropy_shannon_dec_14,410
tqwt_minValue_dec_25,410
tqwt_skewnessValue_dec_12,412
app_LT_TKEO_std_2_coef,412
det_LT_entropy_shannon_7_coef,415
tqwt_entropy_log_dec_7,415
tqwt_medianValue_dec_18,415
app_det_TKEO_mean_3_coef,417
std_12th_delta_delta,418
tqwt_meanValue_dec_31,419
det_entropy_shannon_10_coef,419
tqwt_minValue_dec_26,421
tqwt_maxValue_dec_21,421
det_LT_entropy_log_1_coef,423
app_LT_TKEO_std_3_coef,424
tqwt_medianValue_dec_7,425
tqwt_minValue_dec_29,426
tqwt_meanValue_dec_1,427
tqwt_maxValue_dec_5,428
tqwt_medianValue_dec_17,429
tqwt_maxValue_dec_1,429
tqwt_TKEO_mean_dec_16,431
det_LT_TKEO_std_3_coef,432
tqwt_kurtosisValue_dec_10,433
app_LT_TKEO_mean_2_coef,434
tqwt_kurtosisValue_dec_6,435
tqwt_medianValue_dec_32,436
app_det_TKEO_mean_4_coef,437
mean_7th_delta,437
tqwt_entropy_log_dec_15,439
tqwt_TKEO_std_dec_22,440
tqwt_kurtosisValue_dec_11,441
tqwt_TKEO_mean_dec_15,441
tqwt_kurtosisValue_dec_8,443
tqwt_maxValue_dec_32,444
tqwt_entropy_shannon_dec_15,445
tqwt_energy_dec_22,446
tqwt_TKEO_mean_dec_31,447
det_LT_TKEO_std_4_coef,447
tqwt_medianValue_dec_29,449
tqwt_minValue_dec_27,450
tqwt_skewnessValue_dec_20,451
tqwt_energy_dec_34,452
tqwt_meanValue_dec_32,453
tqwt_medianValue_dec_15,454
tqwt_entropy_log_dec_29,455
tqwt_TKEO_mean_dec_24,456
det_TKEO_std_10_coef,457
det_LT_entropy_log_7_coef,458
mean_1st_delta_delta,458
tqwt_entropy_shannon_dec_6,460
tqwt_TKEO_std_dec_24,460
tqwt_stdValue_dec_13,462
tqwt_entropy_shannon_dec_22,463
tqwt_skewnessValue_dec_6,464
tqwt_stdValue_dec_21,465
det_entropy_shannon_5_coef,465
tqwt_kurtosisValue_dec_14,467
tqwt_maxValue_dec_25,467
tqwt_maxValue_dec_31,469
app_entropy_shannon_1_coef,470
Ed_3_coef,470
tqwt_stdValue_dec_30,472
tqwt_minValue_dec_8,473
tqwt_energy_dec_36,474
tqwt_TKEO_std_dec_16,474
tqwt_entropy_log_dec_36,476
det_TKEO_mean_10_coef,477
tqwt_TKEO_mean_dec_28,479
app_LT_TKEO_std_6_coef,479
tqwt_entropy_log_dec_20,479
det_TKEO_std_3_coef,481
tqwt_entropy_shannon_dec_5,482
tqwt_entropy_shannon_dec_29,483
app_LT_TKEO_std_5_coef,484
tqwt_skewnessValue_dec_32,485
Ed2_3_coef,486
Ed_6_coef,487
tqwt_meanValue_dec_28,487
Ed_9_coef,489
det_entropy_log_2_coef,490
tqwt_entropy_log_dec_10,491
tqwt_minValue_dec_24,492
app_TKEO_std_5_coef,493
tqwt_maxValue_dec_24,494
det_LT_entropy_shannon_10_coef,495
tqwt_stdValue_dec_23,496
tqwt_TKEO_std_dec_23,497
tqwt_energy_dec_5,498
tqwt_TKEO_std_dec_35,499
tqwt_minValue_dec_28,500
tqwt_meanValue_dec_23,501
tqwt_TKEO_std_dec_30,502
tqwt_maxValue_dec_29,503
std_delta_delta_0th,504
tqwt_TKEO_mean_dec_5,505
GQ_std_cycle_closed,505
app_det_TKEO_mean_2_coef,508
det_LT_entropy_log_10_coef,508
det_entropy_log_8_coef,508
Ed2_4_coef,510
app_entropy_shannon_4_coef,511
tqwt_minValue_dec_14,512
det_TKEO_std_5_coef,513
tqwt_TKEO_std_dec_29,514
tqwt_meanValue_dec_4,515
det_LT_entropy_log_8_coef,516
Ea,516
tqwt_skewnessValue_dec_22,518
det_entropy_log_4_coef,519
tqwt_meanValue_dec_14,520
det_entropy_log_9_coef,520
det_LT_TKEO_mean_4_coef,522
tqwt_entropy_log_dec_22,522
tqwt_minValue_dec_18,524
tqwt_TKEO_mean_dec_8,525
tqwt_TKEO_std_dec_8,526
tqwt_minValue_dec_2,527
tqwt_stdValue_dec_31,528
tqwt_minValue_dec_35,528
tqwt_stdValue_dec_14,530
tqwt_TKEO_std_dec_33,531
tqwt_meanValue_dec_20,532
tqwt_minValue_dec_1,533
app_LT_TKEO_std_1_coef,534
tqwt_stdValue_dec_19,535
det_LT_entropy_log_6_coef,535
tqwt_TKEO_mean_dec_30,537
app_entropy_shannon_2_coef,538
det_entropy_log_5_coef,539
Ed_2_coef,540
det_TKEO_std_8_coef,541
tqwt_skewnessValue_dec_5,542
tqwt_minValue_dec_15,543
tqwt_entropy_shannon_dec_7,544
tqwt_minValue_dec_10,545
tqwt_minValue_dec_3,546
det_TKEO_mean_7_coef,547
det_entropy_shannon_9_coef,548
tqwt_medianValue_dec_19,549
det_LT_entropy_shannon_1_coef,550
tqwt_maxValue_dec_18,551
tqwt_TKEO_mean_dec_13,553
tqwt_skewnessValue_dec_2,553
tqwt_entropy_shannon_dec_9,553
Ed2_9_coef,555
det_entropy_log_10_coef,556
det_LT_TKEO_std_2_coef,557
tqwt_minValue_dec_22,558
tqwt_entropy_log_dec_19,559
tqwt_TKEO_mean_dec_18,560
tqwt_minValue_dec_5,561
tqwt_skewnessValue_dec_4,562
det_LT_TKEO_mean_8_coef,563
tqwt_stdValue_dec_17,564
Ed_7_coef,565
tqwt_stdValue_dec_1,566
tqwt_TKEO_mean_dec_3,567
tqwt_TKEO_std_dec_21,568
tqwt_maxValue_dec_35,569
det_LT_entropy_shannon_6_coef,569
tqwt_TKEO_mean_dec_36,571
tqwt_TKEO_mean_dec_10,572
tqwt_meanValue_dec_2,573
tqwt_TKEO_std_dec_31,573
Ed2_2_coef,575
det_LT_TKEO_mean_6_coef,576
tqwt_TKEO_mean_dec_1,577
tqwt_entropy_shannon_dec_3,578
det_LT_TKEO_std_7_coef,579
tqwt_TKEO_mean_dec_29,580
tqwt_TKEO_mean_dec_14,581
tqwt_minValue_dec_19,581
det_LT_entropy_shannon_9_coef,583
app_LT_TKEO_mean_8_coef,584
det_LT_entropy_shannon_3_coef,585
det_entropy_log_6_coef,586
tqwt_TKEO_std_dec_2,597
det_LT_TKEO_std_9_coef,597
tqwt_maxValue_dec_9,597
det_TKEO_mean_6_coef,597
app_entropy_log_1_coef,597
det_TKEO_mean_2_coef,597
det_entropy_log_7_coef,597
det_entropy_shannon_3_coef,597
tqwt_TKEO_std_dec_27,597
app_entropy_log_3_coef,597
app_LT_TKEO_mean_5_coef,597
tqwt_stdValue_dec_5,597
tqwt_entropy_log_dec_24,597
tqwt_entropy_shannon_dec_8,597
tqwt_stdValue_dec_29,597
tqwt_stdValue_dec_28,597
app_det_TKEO_mean_5_coef,597
app_TKEO_std_3_coef,597
app_TKEO_std_9_coef,597
Ed2_5_coef,597
tqwt_stdValue_dec_7,597
det_TKEO_mean_8_coef,613
tqwt_stdValue_dec_10,613
app_TKEO_std_4_coef,613
tqwt_maxValue_dec_23,613
det_LT_entropy_log_9_coef,613
tqwt_maxValue_dec_22,613
det_LT_entropy_shannon_2_coef,613
tqwt_stdValue_dec_22,613
app_LT_TKEO_mean_4_coef,613
det_LT_entropy_shannon_5_coef,613
tqwt_entropy_shannon_dec_4,613
det_TKEO_std_2_coef,619
tqwt_minValue_dec_36,633
tqwt_maxValue_dec_34,633
tqwt_maxValue_dec_16,633
VFER_entropy,633
det_TKEO_std_4_coef,633
Ed2_10_coef,633
app_entropy_log_2_coef,633
det_entropy_shannon_4_coef,633
tqwt_TKEO_mean_dec_34,633
det_TKEO_mean_3_coef,633
tqwt_TKEO_std_dec_9,633
det_TKEO_mean_5_coef,633
det_TKEO_mean_9_coef,633
app_entropy_shannon_6_coef,633
tqwt_TKEO_mean_dec_9,633
app_TKEO_std_2_coef,633
app_TKEO_std_1_coef,633
app_LT_entropy_shannon_4_coef,633
det_LT_TKEO_std_10_coef,633
det_TKEO_std_7_coef,633
det_LT_TKEO_std_6_coef,633
tqwt_stdValue_dec_18,633
tqwt_stdValue_dec_24,633
tqwt_stdValue_dec_34,633
det_LT_TKEO_mean_10_coef,633
det_LT_TKEO_mean_7_coef,633
app_TKEO_std_6_coef,633
tqwt_minValue_dec_23,649
det_entropy_shannon_7_coef,649
tqwt_entropy_log_dec_9,649
det_TKEO_mean_4_coef,649
tqwt_minValue_dec_30,649
tqwt_TKEO_mean_dec_20,649
app_LT_TKEO_std_4_coef,654
det_LT_TKEO_mean_3_coef,654
det_entropy_shannon_2_coef,654
app_entropy_log_8_coef,668
app_det_TKEO_mean_6_coef,668
app_det_TKEO_mean_10_coef,668
app_LT_entropy_log_5_coef,668
app_LT_entropy_log_4_coef,668
tqwt_TKEO_std_dec_36,668
tqwt_stdValue_dec_3,668
tqwt_stdValue_dec_8,668
app_entropy_shannon_3_coef,668
app_LT_entropy_shannon_8_coef,668
app_TKEO_std_7_coef,668
app_LT_TKEO_std_7_coef,668
det_TKEO_std_6_coef,668
app_TKEO_std_10_coef,668
det_LT_TKEO_mean_9_coef,668
tqwt_entropy_log_dec_8,668
tqwt_entropy_log_dec_5,668
tqwt_maxValue_dec_8,668
app_entropy_shannon_9_coef,668
Ed_8_coef,668
tqwt_TKEO_std_dec_15,668
tqwt_entropy_log_dec_2,668
app_entropy_shannon_8_coef,668
app_entropy_log_5_coef,668
det_entropy_shannon_8_coef,668
meanNoiseToHarmHarmonicity,668
app_LT_entropy_log_1_coef,684
tqwt_entropy_shannon_dec_2,684
Ed2_6_coef,684
tqwt_stdValue_dec_16,684
app_TKEO_std_8_coef,684
Ed2_7_coef,714
det_TKEO_std_9_coef,714
Ed2_8_coef,714
Ea2,714
ddaShimmer,714
app_det_TKEO_mean_7_coef,714
app_det_TKEO_mean_9_coef,714
app_det_TKEO_mean_8_coef,714
app_entropy_shannon_10_coef,714
app_entropy_log_10_coef,714
app_entropy_log_9_coef,714
app_entropy_log_7_coef,714
app_entropy_log_6_coef,714
app_entropy_log_4_coef,714
app_entropy_shannon_7_coef,714
app_entropy_shannon_5_coef,714
tqwt_stdValue_dec_36,714
app_LT_entropy_log_3_coef,714
det_LT_TKEO_std_8_coef,714
app_LT_TKEO_std_9_coef,714
app_LT_TKEO_std_10_coef,714
det_entropy_shannon_6_coef,714
tqwt_entropy_log_dec_4,714
tqwt_TKEO_mean_dec_2,714
tqwt_TKEO_mean_dec_4,714
tqwt_maxValue_dec_15,714
tqwt_maxValue_dec_14,714
tqwt_TKEO_mean_dec_35,714
tqwt_stdValue_dec_2,714
tqwt_stdValue_dec_4,714
tqwt_maxValue_dec_3,714
tqwt_stdValue_dec_9,714
tqwt_stdValue_dec_15,714
tqwt_stdValue_dec_35,714
app_LT_TKEO_std_8_coef,714
det_LT_entropy_log_4_coef,714
app_LT_TKEO_mean_10_coef,714
app_LT_TKEO_mean_7_coef,714
app_LT_entropy_shannon_1_coef,714
app_LT_entropy_shannon_2_coef,714
app_LT_entropy_shannon_3_coef,714
app_LT_entropy_shannon_5_coef,714
app_LT_entropy_shannon_6_coef,714
app_LT_entropy_shannon_7_coef,714
app_LT_entropy_shannon_9_coef,714
app_LT_entropy_shannon_10_coef,714
app_LT_entropy_log_2_coef,714
app_LT_entropy_log_6_coef,714
app_LT_entropy_log_7_coef,714
app_LT_entropy_log_8_coef,714
app_LT_entropy_log_9_coef,714
app_LT_entropy_log_10_coef,714
app_LT_TKEO_mean_6_coef,714
app_LT_TKEO_mean_9_coef,714
gender,714
